"Monto","Fecha","Actividad","Direccion","Empleado","Sexo","Nivel_Estudio","Rango_Etareo","Descuento"
"2089,00","2019-06-15","Actividades Acuáticas","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Ingenieria","Adultez",",00"
"2372,00","2019-06-16","Cardio y Acondicionamiento Físico","Bv. Roca 111","ROSANA LEAL","f","Educacion Primaria","Juventud",",00"
"2110,00","2019-06-16","Deportes","Bv. Roca 111","MARIAN HUETE","m","Doctorado","Adultez",",00"
"1468,00","2019-06-16","Bienestar y Cuidado Corporal","Bv. Roca 111","JOAN MONTALBAN","m","Tecnicatura Universitaria","Adultez",",00"
"1611,00","2019-06-17","Bienestar y Relajación","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Primaria","Adultez",",00"
"2103,00","2019-06-18","Baile","Bv. Roca 111","FERRAN ESTEVE","f","Educacion Primaria","Adultez",",00"
"1378,00","2019-06-19","Entrenamiento Especializado","Bv. Roca 111","MARIAN HUETE","m","Maestria","Juventud",",00"
"1325,00","2019-06-20","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","SUSANA SEBASTIAN","m","Licenciatura","Juventud",",00"
"2378,00","2019-06-20","Actividades al Aire Libre","Bv. Roca 111","MARIAN HUETE","m","Maestria","Adultez",",00"
"2625,00","2019-06-21","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARIAN HUETE","m","Doctorado","Adultez",",00"
"1300,00","2019-06-25","Baile","Bv. Roca 111","ROSANA LEAL","f","Ingenieria","Adultez","65,00"
"2733,00","2019-06-26","Baile","Bv. Roca 111","JON SIMO","m","Ingenieria","Adultez","136,65"
"1702,00","2019-06-26","Deportes","Bv. Roca 111","MARTA FALCON","m","Ingenieria","Adultez",",00"
"2819,00","2019-06-27","Actividades al Aire Libre","Bv. Roca 111","ELIA GASPAR","f","Educacion Primaria","Adultez",",00"
"2585,00","2019-06-29","Cardio y Acondicionamiento Físico","Bv. Roca 111","LETICIA TORNERO","m","Educacion Superior","Adultez",",00"
"2950,00","2019-07-02","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","CARLOS PUENTE","m","Maestria","Juventud",",00"
"2524,00","2019-07-03","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Secundaria","Adultez",",00"
"2459,00","2019-07-03","Bienestar y Relajación","Bv. Roca 111","SAID AMARO","m","Ingenieria","Adultez",",00"
"1626,00","2019-07-05","Deportes","Bv. Roca 111","ROSA ANA MANRIQUE","f","Educacion Primaria","Adultez",",00"
"2023,00","2019-07-05","Actividades Acuáticas","Bv. Roca 111","ROSANA LEAL","m","Ingenieria","Juventud",",00"
"2069,00","2019-07-08","Bienestar y Relajación","Bv. Roca 111","IGNACIO VEIGA","f","Licenciatura","Adultez",",00"
"2742,00","2019-07-10","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN ALBERTO MORA","f","Doctorado","Adultez",",00"
"1743,00","2019-07-11","Grupos Específicos","Bv. Roca 111","LETICIA TORNERO","f","Doctorado","Adultez",",00"
"2239,00","2019-07-16","Grupos Específicos","Bv. Roca 111","LETICIA TORNERO","f","Maestria","Adultez",",00"
"1572,00","2019-07-17","Bienestar y Relajación","Bv. Roca 111","VERONICA PAREJA","m","Educacion Primaria","Adultez",",00"
"2448,00","2019-07-17","Entrenamiento Especializado","Bv. Roca 111","SUSANA SEBASTIAN","m","Licenciatura","Adultez","244,80"
"1898,00","2019-07-18","Grupos Específicos","Bv. Roca 111","BELEN GRANADO","m","Maestria","Adultez",",00"
"2614,00","2019-07-21","Baile","Bv. Roca 111","IGOR ORTEGA","f","Tecnicatura Universitaria","Adultez",",00"
"1569,00","2019-07-22","Deportes","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Licenciatura","Adultez",",00"
"2626,00","2019-07-22","Deportes","Bv. Roca 111","JON SIMO","m","Educacion Secundaria","Adultez",",00"
"1909,00","2019-07-22","Bienestar y Cuidado Corporal","Bv. Roca 111","VERONICA PAREJA","m","Educacion Superior","Adultez",",00"
"1672,00","2019-07-23","Grupos Específicos","Bv. Roca 111","CARLOS PUENTE","m","Licenciatura","Adultez",",00"
"2391,00","2019-07-25","Entrenamiento Especializado","Bv. Roca 111","BELEN GRANADO","f","Maestria","Juventud","239,10"
"1596,00","2019-07-25","Grupos Específicos","Bv. Roca 111","JUAN ALBERTO MORA","f","Educacion Superior","Adultez",",00"
"1683,00","2019-07-27","Bienestar y Cuidado Corporal","Bv. Roca 111","MARTA FALCON","m","Educacion Primaria","Adultez",",00"
"2001,00","2019-07-28","Bienestar y Relajación","Bv. Roca 111","MARTA FALCON","f","Maestria","Adultez","100,05"
"1784,00","2019-07-29","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","SAID AMARO","m","Educacion Primaria","Adultez",",00"
"2799,00","2019-07-29","Bienestar y Relajación","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Doctorado","Adultez","139,95"
"2104,00","2019-07-30","Baile","Bv. Roca 111","IGOR ORTEGA","m","Tecnicatura Universitaria","Adultez",",00"
"2702,00","2019-07-30","Bienestar y Cuidado Corporal","Bv. Roca 111","LILIANA RUA","f","Maestria","Adultez","540,40"
"1711,00","2019-07-31","Actividades al Aire Libre","Bv. Roca 111","JUAN MANUEL RINCON","m","Ingenieria","Adultez",",00"
"2008,00","2019-08-01","Cardio y Acondicionamiento Físico","Bv. Roca 111","VERONICA PAREJA","f","Educacion Superior","Adultez",",00"
"1624,00","2019-08-02","Bienestar y Relajación","Bv. Roca 111","JUAN ALBERTO MORA","m","Doctorado","Adultez",",00"
"1616,00","2019-08-03","Actividades al Aire Libre","Bv. Roca 111","LUIS MANUEL MATO","m","Educacion Secundaria","Adultez",",00"
"1531,00","2019-08-04","Bienestar y Cuidado Corporal","Bv. Roca 111","JOAN MONTALBAN","m","Educacion Superior","Adultez","306,20"
"1547,00","2019-08-05","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Superior","Adultez",",00"
"2617,00","2019-08-05","Baile","Bv. Roca 111","IGNACIO VEIGA","f","Educacion Superior","Adultez",",00"
"1599,00","2019-08-06","Baile","Bv. Roca 111","ROSANA LEAL","f","Ingenieria","Juventud",",00"
"2848,00","2019-08-07","Cardio y Acondicionamiento Físico","Bv. Roca 111","SUSANA SEBASTIAN","f","Ingenieria","Adultez",",00"
"2264,00","2019-08-08","Bienestar y Cuidado Corporal","Bv. Roca 111","LETICIA TORNERO","f","Educacion Secundaria","Adultez","452,80"
"2628,00","2019-08-09","Actividades al Aire Libre","Bv. Roca 111","JUAN FRANCISCO LAVADO","m","Educacion Primaria","Adultez",",00"
"1580,00","2019-08-14","Baile","Bv. Roca 111","ROSANA LEAL","f","Educacion Secundaria","Adultez","395,00"
"2359,00","2019-08-14","Deportes","Bv. Roca 111","JUAN DIEGO PICON","f","Doctorado","Adultez",",00"
"1466,00","2019-08-15","Actividades Acuáticas","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Maestria","Adultez",",00"
"2071,00","2019-08-16","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","IGNACIO VEIGA","m","Ingenieria","Adultez",",00"
"2111,00","2019-08-16","Baile","Bv. Roca 111","MARTA FALCON","f","Licenciatura","Adultez",",00"
"1563,00","2019-08-16","Entrenamiento Especializado","Bv. Roca 111","LILIANA RUA","f","Tecnicatura Universitaria","Adultez",",00"
"1758,00","2019-08-17","Baile","Bv. Roca 111","LETICIA TORNERO","f","Licenciatura","Adultez",",00"
"2815,00","2019-08-18","Entrenamiento Especializado","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Superior","Adultez",",00"
"1455,00","2019-08-20","Bienestar y Cuidado Corporal","Bv. Roca 111","VERONICA PAREJA","f","Licenciatura","Juventud",",00"
"1766,00","2019-08-20","Actividades al Aire Libre","Bv. Roca 111","JON SIMO","f","Educacion Secundaria","Adultez",",00"
"1939,00","2019-08-21","Baile","Bv. Roca 111","MARIAN HUETE","m","Educacion Secundaria","Adultez",",00"
"1360,00","2019-08-25","Actividades Acuáticas","Bv. Roca 111","FRANCISCO JOSE GOMES","m","Tecnicatura Universitaria","Adultez",",00"
"2252,00","2019-08-26","Actividades Acuáticas","Bv. Roca 111","BERTA VALLE","f","Doctorado","Adultez",",00"
"2354,00","2019-08-27","Bienestar y Relajación","Bv. Roca 111","YOUSSEF DE ANDRES","f","Doctorado","Adultez",",00"
"1658,00","2019-08-31","Actividades Acuáticas","Bv. Roca 111","VERONICA PAREJA","m","Maestria","Adultez",",00"
"1430,00","2019-08-31","Grupos Específicos","Bv. Roca 111","CARLOS PUENTE","f","Tecnicatura Universitaria","Adultez",",00"
"1584,00","2019-09-01","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN ALBERTO MORA","m","Doctorado","Adultez",",00"
"1356,00","2019-09-01","Grupos Específicos","Bv. Roca 111","OLGA PRADO","f","Licenciatura","Adultez",",00"
"2709,00","2019-09-01","Bienestar y Cuidado Corporal","Bv. Roca 111","IGNACIO VEIGA","f","Educacion Secundaria","Adultez",",00"
"2869,00","2019-09-02","Grupos Específicos","Bv. Roca 111","ROSA ANA MANRIQUE","f","Maestria","Adultez",",00"
"2351,00","2019-09-03","Actividades al Aire Libre","Bv. Roca 111","ROSA ANA MANRIQUE","f","Educacion Secundaria","Adultez",",00"
"2621,00","2019-09-05","Grupos Específicos","Bv. Roca 111","JON SIMO","m","Ingenieria","Adultez",",00"
"2798,00","2019-09-07","Deportes","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Ingenieria","Juventud","419,70"
"1466,00","2019-09-08","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MANUEL JESUS RANGEL","m","Educacion Secundaria","Adultez",",00"
"1621,00","2019-09-08","Bienestar y Cuidado Corporal","Bv. Roca 111","FERRAN ESTEVE","f","Licenciatura","Adultez",",00"
"1703,00","2019-09-08","Actividades al Aire Libre","Bv. Roca 111","BELEN GRANADO","f","Doctorado","Adultez",",00"
"2538,00","2019-09-09","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","FRANCISCO JOSE GOMES","m","Educacion Secundaria","Juventud",",00"
"2880,00","2019-09-10","Bienestar y Relajación","Bv. Roca 111","VICTOR MANUEL CASTEJON","f","Licenciatura","Adultez","864,00"
"1504,00","2019-09-11","Cardio y Acondicionamiento Físico","Bv. Roca 111","IGOR ORTEGA","f","Educacion Secundaria","Adultez",",00"
"2851,00","2019-09-11","Bienestar y Cuidado Corporal","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Educacion Primaria","Adultez",",00"
"2728,00","2019-09-13","Baile","Bv. Roca 111","MANUEL JESUS RANGEL","f","Ingenieria","Adultez",",00"
"2676,00","2019-09-14","Actividades al Aire Libre","Bv. Roca 111","BERTA VALLE","f","Tecnicatura Universitaria","Adultez",",00"
"2588,00","2019-09-15","Actividades Acuáticas","Bv. Roca 111","JOAN MONTALBAN","m","Licenciatura","Adultez",",00"
"2672,00","2019-09-17","Grupos Específicos","Bv. Roca 111","NURIA GUILLEN","f","Tecnicatura Universitaria","Adultez","801,60"
"1616,00","2019-09-19","Actividades al Aire Libre","Bv. Roca 111","JON SIMO","f","Tecnicatura Universitaria","Adultez",",00"
"2445,00","2019-09-20","Baile","Bv. Roca 111","ROSA ANA MANRIQUE","f","Educacion Superior","Adultez",",00"
"2029,00","2019-09-23","Actividades Acuáticas","Bv. Roca 111","JUAN ALBERTO MORA","f","Tecnicatura Universitaria","Adultez",",00"
"1397,00","2019-09-27","Actividades Acuáticas","Bv. Roca 111","MANUEL JESUS RANGEL","f","Tecnicatura Universitaria","Juventud",",00"
"2256,00","2019-09-30","Baile","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Educacion Superior","Adultez",",00"
"1908,00","2019-10-01","Bienestar y Cuidado Corporal","Bv. Roca 111","VERONICA PAREJA","f","Doctorado","Adultez",",00"
"2847,00","2019-10-02","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","VERONICA PAREJA","m","Maestria","Adultez",",00"
"2315,00","2019-10-02","Baile","Bv. Roca 111","JUAN MANUEL RINCON","f","Maestria","Adultez",",00"
"1579,00","2019-10-03","Actividades Acuáticas","Bv. Roca 111","BERTA VALLE","f","Tecnicatura Universitaria","Adultez",",00"
"2303,00","2019-10-04","Deportes","Bv. Roca 111","CARLOS PUENTE","m","Tecnicatura Universitaria","Adultez",",00"
"2242,00","2019-10-06","Bienestar y Cuidado Corporal","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Maestria","Adultez",",00"
"2886,00","2019-10-07","Actividades al Aire Libre","Bv. Roca 111","FERRAN ESTEVE","f","Tecnicatura Universitaria","Adultez",",00"
"2273,00","2019-10-09","Cardio y Acondicionamiento Físico","Bv. Roca 111","IGNACIO VEIGA","m","Ingenieria","Adultez",",00"
"1524,00","2019-10-09","Actividades Acuáticas","Bv. Roca 111","BERTA VALLE","f","Ingenieria","Adultez",",00"
"2225,00","2019-10-12","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","VERONICA PAREJA","f","Educacion Superior","Adultez",",00"
"1575,00","2019-10-18","Bienestar y Relajación","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Ingenieria","Adultez",",00"
"2421,00","2019-10-19","Bienestar y Relajación","Bv. Roca 111","LILIANA RUA","m","Licenciatura","Adultez",",00"
"2239,00","2019-10-22","Actividades Acuáticas","Bv. Roca 111","IGOR ORTEGA","f","Educacion Superior","Adultez",",00"
"1342,00","2019-10-24","Bienestar y Relajación","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Educacion Superior","Adultez",",00"
"1550,00","2019-10-24","Bienestar y Cuidado Corporal","Bv. Roca 111","LILIANA RUA","f","Educacion Primaria","Adultez","77,50"
"1630,00","2019-10-25","Actividades Acuáticas","Bv. Roca 111","OLGA PRADO","m","Ingenieria","Juventud",",00"
"2227,00","2019-10-29","Cardio y Acondicionamiento Físico","Bv. Roca 111","MANUEL JESUS RANGEL","f","Licenciatura","Adultez",",00"
"2263,00","2019-11-01","Bienestar y Cuidado Corporal","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Educacion Secundaria","Adultez",",00"
"2513,00","2019-11-05","Baile","Bv. Roca 111","BELEN GRANADO","m","Educacion Superior","Juventud",",00"
"2193,00","2019-11-05","Actividades al Aire Libre","Bv. Roca 111","SUSANA SEBASTIAN","f","Licenciatura","Adultez",",00"
"2107,00","2019-11-07","Bienestar y Cuidado Corporal","Bv. Roca 111","JUAN ALBERTO MORA","m","Maestria","Adultez",",00"
"1646,00","2019-11-07","Bienestar y Cuidado Corporal","Bv. Roca 111","LILIANA RUA","f","Educacion Superior","Adultez",",00"
"1411,00","2019-11-09","Bienestar y Relajación","Bv. Roca 111","VERONICA PAREJA","f","Ingenieria","Juventud",",00"
"2335,00","2019-11-09","Entrenamiento Especializado","Bv. Roca 111","IGOR ORTEGA","m","Ingenieria","Juventud",",00"
"2374,00","2019-11-13","Baile","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Ingenieria","Adultez","356,10"
"1760,00","2019-11-18","Baile","Bv. Roca 111","JUAN FRANCISCO LAVADO","m","Educacion Superior","Adultez","264,00"
"2977,00","2019-11-19","Baile","Bv. Roca 111","BELEN GRANADO","m","Educacion Superior","Adultez","446,55"
"1608,00","2019-11-21","Bienestar y Relajación","Bv. Roca 111","ELIA GASPAR","m","Maestria","Adultez",",00"
"1334,00","2019-11-22","Cardio y Acondicionamiento Físico","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Maestria","Adultez",",00"
"1926,00","2019-11-22","Baile","Bv. Roca 111","NURIA GUILLEN","m","Tecnicatura Universitaria","Adultez","288,90"
"2978,00","2019-11-22","Entrenamiento Especializado","Bv. Roca 111","JUAN FRANCISCO LAVADO","m","Educacion Primaria","Juventud",",00"
"2503,00","2019-11-23","Baile","Bv. Roca 111","SORAYA SEBASTIAN","f","Licenciatura","Adultez","375,45"
"2971,00","2019-11-24","Grupos Específicos","Bv. Roca 111","YOUSSEF DE ANDRES","f","Educacion Secundaria","Juventud",",00"
"2081,00","2019-11-26","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN DIEGO PICON","f","Maestria","Adultez",",00"
"2879,00","2019-11-26","Bienestar y Relajación","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Ingenieria","Adultez",",00"
"1822,00","2019-11-29","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","YOUSSEF DE ANDRES","f","Maestria","Adultez",",00"
"2305,00","2019-11-29","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","BELEN GRANADO","f","Licenciatura","Adultez",",00"
"1947,00","2019-12-02","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN ALBERTO MORA","f","Educacion Secundaria","Adultez",",00"
"2657,00","2019-12-02","Bienestar y Relajación","Bv. Roca 111","MARTA FALCON","m","Tecnicatura Universitaria","Adultez",",00"
"2012,00","2019-12-05","Baile","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Secundaria","Adultez","301,80"
"2655,00","2019-12-06","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Educacion Secundaria","Adultez",",00"
"1948,00","2019-12-06","Deportes","Bv. Roca 111","ANTONIO LUIS SANJUAN","f","Licenciatura","Adultez",",00"
"2028,00","2019-12-07","Bienestar y Cuidado Corporal","Bv. Roca 111","BERTA VALLE","f","Maestria","Adultez",",00"
"1824,00","2019-12-09","Entrenamiento Especializado","Bv. Roca 111","OLGA PRADO","m","Ingenieria","Adultez",",00"
"2956,00","2019-12-14","Cardio y Acondicionamiento Físico","Bv. Roca 111","JOAN MONTALBAN","f","Doctorado","Adultez",",00"
"2598,00","2019-12-16","Cardio y Acondicionamiento Físico","Bv. Roca 111","BELEN GRANADO","f","Educacion Secundaria","Juventud",",00"
"1370,00","2019-12-16","Actividades Acuáticas","Bv. Roca 111","YOUSSEF DE ANDRES","m","Ingenieria","Adultez",",00"
"1660,00","2019-12-20","Entrenamiento Especializado","Bv. Roca 111","SAID AMARO","m","Tecnicatura Universitaria","Adultez",",00"
"1519,00","2019-12-21","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","FERRAN ESTEVE","m","Tecnicatura Universitaria","Adultez",",00"
"2336,00","2019-12-21","Actividades al Aire Libre","Bv. Roca 111","SAID AMARO","m","Ingenieria","Adultez",",00"
"2142,00","2019-12-23","Actividades Acuáticas","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Superior","Adultez",",00"
"2798,00","2019-12-25","Entrenamiento Especializado","Bv. Roca 111","CARLOS PUENTE","m","Maestria","Adultez",",00"
"2576,00","2019-12-25","Actividades al Aire Libre","Bv. Roca 111","MANUEL JESUS RANGEL","m","Tecnicatura Universitaria","Adultez",",00"
"1905,00","2019-12-26","Deportes","Bv. Roca 111","MARIAN HUETE","m","Licenciatura","Adultez",",00"
"1880,00","2019-12-26","Entrenamiento Especializado","Bv. Roca 111","ARTURO RAYA","m","Educacion Superior","Adultez",",00"
"1667,00","2019-12-27","Bienestar y Relajación","Bv. Roca 111","MARIAN HUETE","f","Tecnicatura Universitaria","Adultez",",00"
"1868,00","2019-12-29","Bienestar y Relajación","Bv. Roca 111","JUAN MANUEL RINCON","f","Maestria","Adultez",",00"
"2482,00","2019-12-30","Cardio y Acondicionamiento Físico","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Educacion Primaria","Adultez",",00"
"2304,00","2019-12-31","Grupos Específicos","Bv. Roca 111","SORAYA SEBASTIAN","m","Educacion Superior","Juventud",",00"
"2670,00","2020-01-06","Bienestar y Relajación","Bv. Roca 111","SORAYA SEBASTIAN","m","Maestria","Juventud",",00"
"1474,00","2020-01-09","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ABDELAZIZ SANTANA","f","Doctorado","Adultez",",00"
"1344,00","2020-01-09","Grupos Específicos","Bv. Roca 111","JOAN MONTALBAN","m","Licenciatura","Adultez","134,40"
"2248,00","2020-01-11","Bienestar y Cuidado Corporal","Bv. Roca 111","YOUSSEF DE ANDRES","m","Maestria","Adultez",",00"
"2460,00","2020-01-12","Deportes","Bv. Roca 111","JUAN MANUEL RINCON","f","Ingenieria","Juventud",",00"
"2555,00","2020-01-12","Bienestar y Cuidado Corporal","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Educacion Primaria","Adultez",",00"
"2274,00","2020-01-13","Bienestar y Relajación","Bv. Roca 111","JUAN DIEGO PICON","f","Educacion Superior","Adultez",",00"
"2097,00","2020-01-13","Actividades Acuáticas","Bv. Roca 111","BERTA VALLE","f","Maestria","Juventud",",00"
"2413,00","2020-01-14","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ELIA GASPAR","m","Educacion Superior","Juventud",",00"
"1875,00","2020-01-14","Cardio y Acondicionamiento Físico","Bv. Roca 111","BERTA VALLE","m","Educacion Primaria","Juventud",",00"
"2099,00","2020-01-14","Entrenamiento Especializado","Bv. Roca 111","ABDELAZIZ SANTANA","m","Ingenieria","Adultez",",00"
"2843,00","2020-01-15","Bienestar y Relajación","Bv. Roca 111","BELEN GRANADO","f","Educacion Secundaria","Adultez",",00"
"2334,00","2020-01-16","Actividades al Aire Libre","Bv. Roca 111","ROSA ANA MANRIQUE","f","Educacion Superior","Adultez",",00"
"2829,00","2020-01-22","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN FRANCISCO LAVADO","f","Maestria","Adultez",",00"
"2720,00","2020-01-23","Baile","Bv. Roca 111","LETICIA TORNERO","m","Educacion Primaria","Juventud",",00"
"1958,00","2020-01-23","Actividades Acuáticas","Bv. Roca 111","NURIA GUILLEN","m","Maestria","Adultez",",00"
"1590,00","2020-01-23","Actividades Acuáticas","Bv. Roca 111","SAID AMARO","f","Educacion Primaria","Adultez",",00"
"1572,00","2020-01-24","Bienestar y Relajación","Bv. Roca 111","BERTA VALLE","f","Educacion Superior","Adultez",",00"
"2205,00","2020-01-24","Entrenamiento Especializado","Bv. Roca 111","ROSA ANA MANRIQUE","m","Tecnicatura Universitaria","Juventud",",00"
"2088,00","2020-01-26","Actividades Acuáticas","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Licenciatura","Adultez",",00"
"2419,00","2020-01-29","Actividades Acuáticas","Bv. Roca 111","JUAN MANUEL RINCON","m","Ingenieria","Adultez",",00"
"2676,00","2020-01-29","Entrenamiento Especializado","Bv. Roca 111","LUIS MANUEL MATO","f","Educacion Superior","Adultez",",00"
"2148,00","2020-01-29","Grupos Específicos","Bv. Roca 111","ABDELAZIZ SANTANA","m","Licenciatura","Adultez","214,80"
"2516,00","2020-01-30","Cardio y Acondicionamiento Físico","Bv. Roca 111","BERTA VALLE","f","Doctorado","Adultez",",00"
"2873,00","2020-01-30","Actividades Acuáticas","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Educacion Superior","Adultez",",00"
"1924,00","2020-01-30","Actividades al Aire Libre","Bv. Roca 111","BERTA VALLE","f","Ingenieria","Adultez",",00"
"1400,00","2020-01-31","Entrenamiento Especializado","Bv. Roca 111","MARIAN HUETE","f","Licenciatura","Adultez",",00"
"2980,00","2020-02-02","Entrenamiento Especializado","Bv. Roca 111","YOUSSEF DE ANDRES","f","Ingenieria","Adultez",",00"
"1599,00","2020-02-04","Cardio y Acondicionamiento Físico","Bv. Roca 111","ROSANA LEAL","m","Educacion Secundaria","Adultez",",00"
"2670,00","2020-02-06","Deportes","Bv. Roca 111","JOAN MONTALBAN","f","Educacion Superior","Juventud",",00"
"1878,00","2020-02-10","Entrenamiento Especializado","Bv. Roca 111","SORAYA SEBASTIAN","m","Maestria","Juventud",",00"
"2349,00","2020-02-12","Grupos Específicos","Bv. Roca 111","OLGA PRADO","m","Educacion Superior","Adultez",",00"
"1684,00","2020-02-13","Cardio y Acondicionamiento Físico","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Ingenieria","Adultez",",00"
"2645,00","2020-02-15","Cardio y Acondicionamiento Físico","Bv. Roca 111","NURIA GUILLEN","f","Licenciatura","Adultez",",00"
"2864,00","2020-02-16","Cardio y Acondicionamiento Físico","Bv. Roca 111","SAID AMARO","f","Educacion Secundaria","Adultez","716,00"
"1743,00","2020-02-17","Baile","Bv. Roca 111","FERRAN ESTEVE","m","Educacion Primaria","Adultez",",00"
"2960,00","2020-02-20","Bienestar y Relajación","Bv. Roca 111","LETICIA TORNERO","m","Educacion Primaria","Adultez","592,00"
"1968,00","2020-02-21","Actividades Acuáticas","Bv. Roca 111","LILIANA RUA","m","Tecnicatura Universitaria","Adultez",",00"
"1810,00","2020-02-21","Actividades al Aire Libre","Bv. Roca 111","JUAN ALBERTO MORA","m","Educacion Secundaria","Adultez",",00"
"1322,00","2020-02-22","Actividades al Aire Libre","Bv. Roca 111","SUSANA SEBASTIAN","f","Educacion Secundaria","Adultez",",00"
"2796,00","2020-02-23","Grupos Específicos","Bv. Roca 111","JUAN ALBERTO MORA","f","Educacion Superior","Adultez",",00"
"2163,00","2020-02-25","Actividades Acuáticas","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Educacion Secundaria","Adultez",",00"
"2034,00","2020-02-25","Grupos Específicos","Bv. Roca 111","LILIANA RUA","f","Educacion Superior","Adultez",",00"
"2175,00","2020-02-26","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN ALBERTO MORA","f","Educacion Secundaria","Adultez","108,75"
"2605,00","2020-02-29","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ROSANA LEAL","f","Maestria","Adultez","130,25"
"2551,00","2020-02-29","Bienestar y Relajación","Bv. Roca 111","JON SIMO","f","Licenciatura","Adultez","510,20"
